timestamp,entries
2024-02-29,6457
2024-03-01,12690
2024-03-02,20186
2024-03-03,25877
2024-03-04,33843
2024-03-05,40258
2024-03-06,46969
2024-03-07,54044
2024-03-08,60924
2024-03-09,67513
2024-03-10,74303
2024-03-11,81937
2024-03-12,88865
2024-03-13,95933
2024-03-14,103338
2024-03-15,109495
2024-03-16,115398
2024-03-17,122169
2024-03-18,129580
2024-03-19,135886
2024-03-20,142859
2024-03-21,148908
2024-03-22,154142
2024-03-23,160876
2024-03-24,168636
2024-03-25,173962
2024-03-26,179214
2024-03-27,185738
2024-03-28,192601
2024-03-29,199050
2024-03-30,206995
2024-03-31,213190
2024-04-01,220725
2024-04-02,227732
2024-04-03,232944
2024-04-04,239411
2024-04-05,246007
2024-04-06,251553
2024-04-07,258849
2024-04-08,264828
2024-04-09,271146
2024-04-10,278726
2024-04-11,285850
2024-04-12,291027
2024-04-13,297479
2024-04-14,303866
2024-04-15,309385
2024-04-16,314652
2024-04-17,322350
2024-04-18,330018
2024-04-19,337501
